Key,Value
11,"전혀 모르겠습니다.[/record]
솔직히 말씀드릴 수 없습니다.[/record]
글쎄요, 잘 모르겠네요...[/record]
다른 사람에게 물어보세요.[/record]
당신이 알려주세요.[/end]"
12,주문서에 주문이 없습니다.[/end]
13,"지도에 그런 이름의 장소는[/center]
없습니다.[/center]
[/end]"
14,보너스 포인트를 분배해야 합니다.[/end]
15,도시 경비병에게 항복하시겠습니까?[/end]
16,너무 먼 미래의 날짜를 요청하고 있습니다.[/end]
17,도시 안이나 근처에서 야영하는 것은 불법입니다.[/end]
18,당신은 건강합니다.[/end]
19,소속된 단체가 없습니다.[/end]
20,아주라의 별에서 해방할 영혼이 없습니다.[/end]
21,50%를 초과하는 기술은 훈련할 수 없습니다.[/end]
22,"현재 위치: %cn[/center]
현재 시각: %tim · 날짜: %dat[/center]
관할 지역: %crn[/center]
신분: %ltn[/center]
[/end]"
23,"추가 훈련을 받으려면 최소 12시간을[/center]
기다려야 합니다.[/center]
[/end]"
24,"이것은 수리할 필요가 없습니다.[/center]
[/end]"
25,"당신은 %gii 골드를 가지고 있습니다. 몇 개를[/center]
버리시겠습니까?[/center]
[/input][/center]
[/end]"
26,"한 번에 99시간 이상[/center]
휴식할 수 없습니다.[/center]
[/end]"
27,"한 번에 3시간 이상[/center]
배회할 수 없습니다.[/center]
[/end]"
28,%hnt[/end]
29,"%it 파손이 확인되었습니다.[/center]
[/end]"
30,"질병에 걸리지 않았습니다.[/center]
[/end]"
31,"다음 목적지로 여행하시겠습니까?[/center]
%tcn[/center]
[/end]"
32,"영혼이 해방되었습니다.[/center]
[/end]"
33,"마법 아이템은 수리할 수 없습니다.[/center]
[/end]"
34,"물약 재료가 없습니다.[/center]
[/end]"
35,"당신의 평판이 다음과 같이 변경되었습니다:[/left]
평민: [/pos:x=70,y=0]%r1[/left]
상인회: [/pos:x=70,y=0]%r2[/left]
학자회: [/pos:x=70,y=0]%r3[/left]
귀족: [/pos:x=70,y=0]%r4[/left]
암흑가: [/pos:x=70,y=0]%r5[/left]
[/left]
[/end]"
36,"뱀파이어로서 살인을 통해[/center]
욕구를 채운 지 너무 오래되었습니다. 힘을[/center]
회복할 수 없습니다.[/center]
[/end]"
37,"사유 재산인 것 같습니다. 그래도[/center]
살펴보시겠습니까?[/center]
[/end]"
38,"마차에 접근하여[/center]
%cn 에서 머무시겠습니까?[/center]
[/end]"
100,"마녀 수두에 걸렸습니다.[/center]
치료되거나 사망하기 전까지 당신의 힘,[/center]
지구력, 체력이 서서히 감소할 것입니다.[/center]
[/center]
[/end]"
101,"매우 심각하고 치명적인 질병인 역병에 걸렸습니다.[/center]
질병이 매우 빠르게 당신의 신체로[/center]
퍼질 것입니다. 신속하게 치료받지 않으면[/center]
며칠 이상 생존하기 어렵습니다.[/center]
[/center]
[/center]
[/end]"
102,"황열병에 걸렸습니다.[/center]
치료법을 찾거나 사망하기 전까지 매일 당신의[/center]
지구력, 의지력, 체력이 감소할 것입니다.[/center]
[/center]
[/end]"
103,"위장 부패병에 걸렸습니다.[/center]
치료받지 않으면 영구적인 상태로 남으며,[/center]
매일 체력이 조금씩 감소하는 것이 특징입니다.[/center]
[/center]
[/end]"
104,"폐결핵에 걸렸습니다.[/center]
치료되거나 사망하기 전까지 당신의 의지력,[/center]
민첩성, 힘이 서서히 빠져나갈 것입니다.[/center]
[/center]
[/end]"
105,"뇌열병에 걸렸습니다.[/center]
의지력, 체력, 심지어 매력까지 매일 조금씩[/center]
사라지는 서서히 죽어가는 병입니다. 치료받지 않으면[/center]
오블리비언을 마주하게 될 것입니다.[/center]
[/center]
[/end]"
106,"늪 부패병에 걸렸습니다.[/center]
치료되거나 쇠약해져 죽기 전까지 매일 당신의[/center]
의지력, 민첩성, 힘이 감소할 것입니다.[/center]
[/center]
[/end]"
107,"칼리론의 저주에 걸렸습니다.[/center]
일부 사람들은 1~2주 만에 스스로 회복하기도 했지만,[/center]
힘, 속도, 민첩성은 여전히 저하된 상태로 남습니다.[/center]
질병을 신속하게 치료하는 것이 최선입니다.[/center]
[/center]
[/end]"
108,"탐리엘에서 가장 치명적인 질병 중 하나인 콜레라에 걸렸습니다.[/center]
도움을 매우 신속하게 받지 않으면 항상 사망에 이릅니다.[/center]
[/center]
[/center]
[/end]"
109,"나병에 걸렸습니다.[/center]
치료받지 않으면 매일 조금씩 서서히 쇠약해질 것입니다.[/center]
[/center]
[/end]"
110,"상처 부패병에 걸렸습니다.[/center]
치료하기 전까지 당신의 힘, 지구력, 체력을[/center]
매우 서서히 갉아먹을 것입니다.[/center]
[/center]
[/end]"
111,"매우 심각한 질병인 붉은 죽음에 걸렸습니다.[/center]
피해자의 지구력을 빠르게 감소시키고 심지어 매력까지 파괴하며,[/center]
치료받지 않으면 사망에 이르게 합니다.[/center]
[/center]
[/center]
[/center]
[/end]"
112,"혈액 부패병에 걸렸습니다.[/center]
치료하지 않으면 며칠 또는 몇 주에 걸쳐 당신의[/center]
체력, 매력, 의지력에 악영향을 미칠 것입니다.[/center]
치료법을 찾지 못해 이 질병으로 사망한 이들도 있습니다.[/center]
[/center]
[/center]
[/center]
[/end]"
113,"치명적인 질병인 장티푸스에 걸렸습니다.[/center]
피해자의 지능, 지구력, 체력에 영향을 미칩니다.[/center]
치료하거나 사망하지 않는 한 영구적인 상태입니다.[/center]
[/center]
[/center]
[/end]"
114,"광증에 걸렸습니다.[/center]
피해자의 지능, 의지력, 심지어 매력까지 서서히 앗아가는 끔찍한 질병으로,[/center]
사망하거나 치료받기 전까지 계속됩니다.[/center]
[/center]
[/center]
[/center]
[/end]"
115,"마법 질병인 크론디아시스에 걸렸습니다.[/center]
매일 당신의 지능과 타고난 매지카를 소모할 것입니다.[/center]
치료하지 않으면 결국 당신을 죽음에 이르게 할 것입니다.[/center]
[/center]
[/center]
[/end]"
116,"마법 질병인 마법사 열병에 걸렸습니다.[/center]
때로는 성가시기만 하고, 때로는 파괴적인 마법 질병입니다.[/center]
어떤 이들은 열병이 저절로 낫기 전까지 거의 알아차리지 못하기도 하지만,[/center]
어떤 이들은 지적 장애를 겪기도 합니다. 당신의 타고난 매지카와 지능이[/center]
최대 3주 동안 매일 조금씩 빠져나갈 것입니다.[/center]
[/center]
[/center]
[/center]
[/center]
[/end]"
117,"독에 중독되었습니다.[/center]
[/end]"
200,"왜 %ra 의 명칭을 지닌 부츠에 'T.G.I.F.'라는 글자를 새겼을까요? 발가락(Toes)이 먼저(First) 들어간다는 걸 기억하려고요![/record]
대부분의 %ra 가문은 족보가 꼬이지 않죠![/record]
%ra 및 포트 와인 한 병의 공통점이 뭔지 아나요? 둘 다 머리가 텅 비었다는 거죠![/record]
발가락 밑에 기름때가 껴 있다면 당신은 %ra 일지도 모릅니다![/record]
%ra 의 눈을 반짝이게 하려면 어떻게 해야 할까요? 귀에 횃불을 꽂아주면 됩니다![/record]
갑옷에 묻은 음식 얼룩이 보이지 않는다면 당신은 %ra 일지도 모릅니다![/record]
누군가 귀에 바람을 불어넣은 뒤 %ra 소녀가 뭐라고 했을까요? '채워줘서 고마워!'[/record]
뇌가 절반밖에 없는 %ra 의 별명을 뭐라고 부를까요? 영재![/record]
왜 %ra 여성들은 속옷을 입을까요? 발목을 따뜻하게 하려고요![/record]
모른다스에 %ra 의 웃음을 자아내려면 어떻게 해야 할까요? 프레다스에 농담을 하면 됩니다![/record]
%ra 의 취기를 끌어내려면 술 한 잔이면 충분하죠. 13번째 잔인지 14번째 잔인지는 기억이 안 나네요.[/record]
%ra 의 명칭으로 불리는 존재가 한 명 이상 있는 지하실을 뭐라고 부를까요? 징징(WHINE)대는 지하실![/record]
%nt 에서는 침을 뱉으면 구리 동전 하나를 내야 합니다. 하지만 토하는 건 공짜죠![/record]
똑똑한 %ra 및 오코블린의 공통점이 뭔지 아나요? 둘 다 멸종했다는 거죠![/record]
많은 사람들이 %ra 아이들은 미루는 버릇이 너무 심하다고 하죠. 글쎄요, 두고 보자고요![/record]
%ra 의 명칭으로 불리는 자가 양손으로 귀를 꽉 막고 있을 때 뭘 하는 걸까요? 생각을 붙잡아 두려는 거죠![/record]
%ra 의 명칭으로 불리는 자가 거짓말을 하는지 어떻게 알 수 있을까요? 입술이 움직이고 있다면 거짓말입니다![/record]
%ra 여성에게 잠자리를 같이하자고 설득하려면 뭐라고 해야 할까요? 에일 한 잔 더 마셔![/record]
왜 %cn 에는 %ra 모험가가 가장 많고, %cn2 에는 고블린이 가장 많을까요? %cn2 의 이름으로 불리는 자가 먼저 선택했기 때문이죠![/record]
%ra 여성이 아침에 가장 먼저 하는 일이 뭘까요? 집으로 걸어가는 거죠![/record]
임신했다는 말을 들은 %ra 여성은 뭐라고 했을까요? '내 건가?'![/record]
%ra 의 지능은 부족한 만큼 멍청함으로 채워지죠.[/record]
지적 생명체는 먹지 않지만, 정치인이나 %ra 의 경우라면 기꺼이 먹겠습니다.[/end]"
201,"토리그의 수염을 걸고[/record]
올포의 망치를 걸고[/record]
하얀 늑대를 걸고[/record]
얼어붙은 황무지를 걸고[/record]
서리의 아버지를 걸고[/record]
얼음의 어머니[/record]
서리불꽃[/record]
솔리튜드의 절벽을 걸고[/record]
북해를 걸고[/record]
토리그의 수염을 걸고[/end]"
202,"쥐의 신을 걸고[/record]
알리자하드의 창녀[/record]
오크레스트의 먼지[/record]
엘스웨어의 모래를 걸고[/record]
축복받은 물을 걸고[/record]
이브라하드의 손을 걸고[/record]
사막의 태양[/record]
마른 심장을 걸고[/record]
생명의 물을 걸고[/record]
사막의 악마[/end]"
203,"드래곤의 이빨을 걸고[/record]
드래곤의 이빨[/record]
저주받은 다르박[/record]
아버지의 이름을 걸고[/record]
로우르켄을 걸고[/record]
위대한 망치를 걸고[/record]
드워프 왕을 걸고[/record]
드워프 왕의 수염[/record]
수호자의 피를 걸고[/record]
최초의 웜을 걸고[/record]
영혼의 검[/record]
블레이드를 걸고[/record]
디바드를 걸고[/record]
카트리카를 걸고[/record]
처녀를 걸고[/record]
프란다르를 걸고[/record]
스텐다르여 우리를 지켜주소서[/record]
태양을 걸고[/end]"
204,"스타폴의 물을 걸고[/record]
주여 축복하소서[/record]
무덤을 걸고[/record]
죽음은 저주받으리[/record]
나의 숙녀를 걸고[/record]
안개를 걸고[/record]
늑대를 걸고[/record]
어둠의 군주를 걸고[/record]
하이 락의 영혼들[/record]
대드루이드를 걸고[/record]
펠라기우스를 걸고[/record]
광기[/record]
드래곤을 걸고[/record]
드래곤에게 저주를[/end]"
205,"늪지 악마[/record]
머크우드의 늪[/record]
신들을 걸고[/record]
아피클레스의 왕좌를 걸고[/record]
운명의 블레이드를 걸고[/record]
고독한 자를 걸고[/record]
스톰홀드의 주인[/record]
늪지 정령을 걸고[/record]
어머니 여신을 걸고[/record]
늪지불꽃[/end]"
206,"엘본 숲의 맹세에 따라[/record]
나무 정령의 맹세에 따라[/record]
숲의 지혜의 맹세에 따라[/record]
미스트리아의 저주에 따라[/record]
숲의 정령들이여[/record]
숲의 페어리들이여[/record]
칼리론의 심장의 맹세에 따라[/record]
뿌리의 맹세에 따라[/record]
엘든루트의 불꽃[/record]
불꽃의 맹세에 따라[/end]"
207,"지존자의 맹세에 따라[/record]
하얀 수정의 맹세에 따라[/record]
엘본 숲의 맹세에 따라[/record]
푸른 분할의 맹세에 따라[/record]
페어리빛[/record]
이계의 맹세에 따라[/record]
탐리엘의 첫 번째 정령[/record]
카시모란의 검[/record]
서머셋의 수정들[/record]
첫 번째 정령의 맹세에 따라[/end]"
208,"블랙 아일의 맹세에 따라[/record]
어둠의 자들의 맹세에 따라[/record]
다고스 우르의 불꽃의 맹세에 따라[/record]
광기의 여왕의 맹세에 따라[/record]
블랙 모의 맹세에 따라[/record]
어둠의 여신이여 우리를 보호하소서[/record]
밤의 맹세에 따라[/record]
흑기사의 영혼[/record]
영혼 없는 자의 맹세에 따라[/record]
화염혈[/end]"
250,"[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%sub, %an[/record]에 의해
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%an[/record]에 의한 %sub
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%an[/record]에 의한 %adj
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%an[/record]에 의한 %adj %sub
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%an[/record]에 의한 %pp1 %sub
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%an[/record]에 의한 %pp1 %adj %sub
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%an[/record]에 의한 %sub %pp2
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%an[/record]에 의한 %adj %sub %pp2
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%an[/end]에 의한 %pp1 %adj %sub %pp2"
255,어디에서 오셨습니까?[/end]
256,"누군가 ""들어오세요.""라고 외칩니다.[/record]
""환영합니다!""라는 소리가 들립니다.[/record]
짜증 섞인 목소리가 ""열려 있어.""라고 소리칩니다.[/record]
누군가 ""안으로 들어오세요.""라고 말합니다.[/record]
쾌활한 목소리가 ""우리 집에 오신 것을 환영합니다.""라고 말합니다.[/record]
누군가 ""들어오셔도 좋습니다.""라고 외칩니다.[/end]"
260,"""당신의 방문이 제 보잘것없는 가게를 빛내주는군요[/center]
%pcn. 굶주린 가족을 먹여 살리려면 이보다 두 배는 더 받아야 하지만, [/center]
[/center]
%a 골드에 드리겠습니다.""[/center]
[/record]
""당신은 정말 대단한 협상가시군요,[/center]
%pct. 보통은 이보다 훨씬 더 비싸게[/center]
받지만, 당신과는 거래를 할 수 있겠군요. [/center]
%a 골드면[/center]
당신 것입니다.""[/center]
[/record]
""친애하는 %pcf, 그 누구에게도, 심지어 가장[/center]
가까운 가족이나 절친한 친구에게도 그 가격에 팔 생각은[/center]
없었습니다. %a[/center]
골드 말입니다. 하지만 당신이라면 이야기가 다르죠.""[/center]
[/center]
[/record]
""이건 정당한 가격보다 훨씬 낮습니다. 시장 시세를[/center]
잘 알고 있습니다. 하지만 아주 드문 경우이긴 해도,[/center]
이익을 남기는 것보다 더 중요한 일이 있지요. 당신의 경우라면 손해를 감수할 수 있습니다. [/center]
[/center]%a 골드[/center]
면 되겠군요, 좋은 %pcf, 당신 것입니다.""[/center]
[/end]"
261,"""%cpn 의 가격은 [/center]에서 가장 저렴한%cn
가격을 자부합니다. 해가 질 때까지[/center]
저와 실랑이를 벌이셨지만, [/center]
[/center]
%a 골드 이하로는 팔 수 없습니다.""[/center]
[/record]
""오랫동안 끈질기게 협상하셨군요[/center]
%pcn. 이제 끝내도록 하죠. 보통은 더 비싸게[/center]
받겠지만, 당신에게는 [/center]
%a 골드만 받겠습니다. 정말 푼돈이나 다름없지요.""[/center]
[/center]
[/end]"
262,"""협상은 충분합니다. 제 가격은[/center]
%a 골드입니다. 하시겠습니까, 아니겠습니까?""[/record]
""%a 골드입니다. 당신이[/center]
그 가격까지 깎으셨군요.""[/center]
[/record]
긴 실랑이 끝에...[/center]
""%a 골드가 제 최종 제안입니다.""[/center]
[/end]"
263,"""끝없는 실랑이는 이제 그만합시다. 당신이[/center]
분명히 큰 어려움을 겪고 계시는군요. 보통이라면 훨씬 더 적게[/center]
지불하겠지만, 당신에게는[/center]
%a 골드를 제안하겠습니다.""[/center]
[/record]
""들어보세요, 제가 밑지지 않고 드릴 수 있는 최대한의[/center]
가격을 제시하겠습니다.[/center]
여기 %a 골드가 있습니다. 가져가시고 친구들에게 저를 속였다고 자랑하십시오.""[/center]
[/center]
[/record]
""가장 친한 친구나 가족에게만 제시하는 가격을 드리겠습니다. 시장[/center]
가치는 이보다 훨씬 낮지만,[/center]
당신에게는 [/center]
%a 골드를 드릴 수 있을 것 같군요.""[/record]
""나쁘지 않군요, 나쁘지 않아. 다른 사람들에게는 더 적게[/center]
주겠지만, 당신에게는 %a 골드입니다. 이게 제[/center]
최종 제안입니다.[/center]
[/end]"
264,"""다른 곳에서 %a 골드보다 더 많이[/center]
받으실 수 있을지는 모르겠지만, 이게 정당한 가격입니다.[/center]
제 유일한 제안이기도 하고요.""[/center]
[/record]
""%a 골드를 드릴 수 있습니다. 만약[/center]
다른 사람이 더 높은 가격을 제시한다면, 그쪽으로 가시는 게 좋을 겁니다. [/center]
%a 골드가 제게는[/center]
최선입니다.""[/center]
[/record]
""이런 물건은 시장이 크지 않지만,[/center]
팔 수는 있겠군요. %a 골드[/center]
를 드리겠습니다. 아주 정당한 가격입니다.""[/center]
[/record]
""네, 당신 말이 맞아요. 전반적으로 품질이 좋군요.[/center]
표준 가격보다 조금 더 얹어서[/center]
%a 골드를 제안하겠습니다.""[/center]
[/end]"
265,"""당신 같은 사람과 실랑이할 시간은 없습니다. 이런 쓰레기 같은 물건에[/center]
%a 이상은 지불하지 않겠습니다.""[/record]
""%a 골드다, 꼬마야. 할 거면 하고 말 거면 말아라.""[/center]
[/record]
""서투른 흥정은 이제 그만해라, 꼬마야. [/center]
%a 골드를 주마. 이게 내가 줄 수 있는 최고가다.[/center]
알겠나?""[/center]
[/record]
""들어봐, %ra. 너도 알고 나도 알다시피 그건 [/center]
%a 골드 이상의 가치가 없잖아,[/center]
그렇지? 그러니 척하지 마라. 동의하지 않아도 좋지만, 내가 지불할 수 있는[/center]
금액은 이게 전부다.""[/center]
[/center]
[/end]"
266,"향과 부드러운 음악이 문턱을 넘는 당신의 신경을 진정시킵니다.[/center]
이 가게의 모든 물건은 세심하게 진열되어 있습니다.[/center]
가게 안의 어떤 물건에서도 작은 결함조차[/center]
찾아볼 수 없습니다.[/center]
[/center]
[/end]"
267,"이 가게는 다른 곳보다 더 잘 정돈되어 있습니다.[/center]
상품들이 선반 위에 깔끔하게 놓여 있습니다.[/center]
왕에게 바칠 정도는 아니지만, 모두[/center]
숙련된 솜씨로 만들어졌습니다.[/center]
[/end]"
268,"가게는 실용적이고[/center]
직관적인 방식으로 배치되어 있습니다. 모든 물건이[/center]
적절한 수준으로 제작된 것 같습니다.[/center]
[/end]"
269,"폐목재를 대충 엮어 만든 튼튼한 선반에 상품들이 놓여 있습니다.[/center]
물건들은 튼튼하고 기능적이지만,[/center]
그 이상은 아닙니다.[/center]
[/center]
[/end]"
270,"녹슨 유물들이 마지막으로 던져진 곳에 그대로 방치되어 있습니다.[/center]
모든 상품에서 조잡한 솜씨로 인한 균열과 흠집이 보입니다. 쥐 한 마리가[/center]
당신의 발 위를 지나쳐 근처 자루 속으로[/center]
파고듭니다.[/center]
[/center]
[/end]"
282,"축하합니다![/center]
%cn 에 아름다운 집을 구매하셨습니다.[/center]
[/end]"
283,"축하합니다![/center]
일리악 만 어디든 당신을 실어 나를 수 있는[/center]
튼튼한 배를 구매하셨습니다.[/end]"
284,"이미 배를 소유하고 계십니다. 다른 배를 사려면[/center]
먼저 배를 파셔야 합니다.[/center]
[/end]"
285,"이곳은 항구 도시가 아닙니다, %pcn.[/center]
여기서는 배를 팔지 않습니다.[/center]
[/end]"
286,"이미 집을 소유하고 계십니다. 다른 집을 팔려면[/center]
먼저 집을 파셔야 합니다.[/center]
[/end]"
287,"지금은 집을 구하기 어려운 시장 상황입니다. 현재[/center]
매물로 나온 집이 없습니다.[/center]
[/end]"
288,"%pcn, 귀하는[/center]
이 은행에서 받은 대출을 상환하지 않으셨습니다.[/center]
저희는 어떤 상황에서도 귀하에게 돈을 빌려드리지 않습니다.[/center]
다른 곳의 은행을 찾아가서[/center]
그들을 속여보시는 게 어떨까요?%reg[/center]
[/center]
[/end]"
289,"이미 이 은행에서 대출을 받으셨습니다.[/center]
저희가 추가 대출을 승인하기 전에 전액 상환하셔야 합니다.[/center]
[/center]
[/end]"
290,"죄송하지만, 계좌에 그만큼의 잔액이 없습니다.[/center]
[/center]
[/end]"
291,"모든 신용장을 입금하시겠다는 말씀이십니까?[/left]
[/end]"
292,"계좌에 그만큼의 잔액이 없습니다.[/center]
신용장 전액과 1퍼센트의 수수료가 필요합니다.[/center]
[/center]
[/end]"
293,"저희는 100골드 미만의 신용장은 발행하지 않습니다.[/center]
[/center]
[/end]"
294,"매우 감사한 일이지만, 저희는 초과 입금을 받지 않습니다. 여기 거스름돈입니다.[/center]
대출금이 전액 상환되었습니다.[/center]
[/center]
[/end]"
295,"귀하의 신용도로는 그만큼의 금을 빌려드릴 수 없습니다. 귀하를 위한[/center]
저희의 한도는[/center]
골드입니다.%ml[/center]
[/end]"
296,"저희는 100골드 미만의 대출은 취급하지 않습니다.[/center]
[/center]
[/end]"
297,"은행의 현상금을 청구합니다!%reg 귀하는 대출을 상환하지 않았으므로[/center]
이제 벌금을 내셔야 합니다![/center]
[/center]
[/end]"
298,"저희가 귀하의 집을[/center]
골드라는%a 관대한 금액으로 매입하겠습니다. 집 안의 모든 물건은[/center]
은행의 소유가 됩니다. 지금 집을 넘기시겠습니까?[/center]
[/center]
[/center]
[/end]"
299,"귀하의 배는 저희에게 %a 골드[/center]
의 가치가 있습니다. 배에 실린 모든 물건은[/center]
은행의 소유가 됨을 알려드립니다. 지금 배를 파시겠습니까?[/center]
[/center]
[/end]"
300,"나가기 전에 3개의 주요 기술, 3개의 부차 기술, 6개의 보조 기술을[/center]
선택해야 합니다.[/center]
[/end]"
301,"나가기 전에 캐릭터 클래스 이름을 정하십시오.[/center]
[/end]"
302,"나가기 전에 능력치 화살표가 0이 되어야 합니다.[/center]
[/end]"
303,"나가기 전에 평판 균형이 0이 되어야 합니다.[/center]
[/end]"
304,"더 이상 장점을 선택할 수 없습니다.[/center]
[/end]"
305,"더 이상 단점을 선택할 수 없습니다.[/center]
[/end]"
306,"단검의 난이도가 붉은색이면 안 됩니다. 더 많은 장점을 선택하여[/center]
올리거나, 더 많은 단점을 선택하여 낮추십시오.[/center]
[/center]
[/end]"
307,"플레이어의 반사 신경은 게임의 전반적인 속도를[/center]
결정합니다. 매우 높은 반사 신경을 선택하면,[/center]
몬스터가 빠르게 움직이고 공격하므로,[/center]
조작을 빠르게 해야 합니다.[/center]
매우 낮은 반사 신경은 몬스터가[/center]
느리게 움직이고 공격하게 하여,[/center]
더 신중하고 사려 깊은 플레이 스타일을 채택할 수 있게 합니다. 당신의[/center]
캐릭터는 낮은 반사 신경 설정에서는 조금 더 느리게,[/center]
높은 반사 신경 설정에서는 조금 더 빠르게 성장할 것입니다.[/center]
[/center]
[/end]"
349,"배회하기를 마쳤습니다.[/center]
[/end]"
350,치유되었습니다.[/end]
351,휴식할 필요가 없습니다.[/end]
352,몇 시간 동안 휴식하시겠습니까?[/end]
353,잠에서 깨어납니다.[/end]
354,근처에 적이 있습니다.[/end]
355,지금은 잠을 잘 수 없습니다.[/end]
360,"우리는 %pcn 에 대해 경고를 받았습니다.[/center]
귀하는 저희 자매 은행 중 한 곳에 대출금을 상환하지 않았습니다. 이 돈은[/center]
그 악성 부채를 갚는 데 사용될 것입니다.[/center]
[/center]
[/end]"
361,"이 데모 버전에서는 이 길드 기능을 사용할 수 있습니다. 보통은[/center]
길드에서 더 높은 등급에 도달할 때까지[/center]
기다려야 이 기능을 사용할 수 있습니다.[/center]
[/center]
[/end]"
362,"데이드라 소환은 대거폴 데모 버전에서[/center]
사용할 수 없습니다.[/center]
[/end]"
363,"대거폴 정식 버전이었다면,[/center]
방금 기술이 상승했을 것입니다.[/center]
하지만 데모 버전에서는 기술이 40을 초과할 수 없습니다.[/center]
[/center]
[/end]"
364,"대거폴 데모의 시간 제한이[/center]
만료되었습니다. 가까운 소프트웨어 매장에서 대거폴을 찾으실 수 있습니다.[/center]
[/center]
[/end]"
400,"ChildGard 기능이[/center]
현재 이 퀘스트를 실행하지 못하게 합니다.[/center]
[/end]"
401,"죽음이 항상 영원한 것은 아닙니다. 어떤 이들에게는[/center]
단지 기다림의 시간일 뿐입니다. 지금은[/center]
당신의 기다림의 시간입니다. 인내심을 가지면[/center]
모든 것이 드러날 것입니다...[/center]
[/end]"
402,"저는 첩보대장입니다. 저는 일리악 만에서 일어나는 모든 일을 알고 있습니다.[/center]
다른 사람들은[/center]
당신에게 소문을 전할지 모르지만, 제 소문은 항상 사실입니다.[/center]
[/end]"
