Key,Value
pronounShe,그녀
pronounHim,그를
pronounHer,그녀를
pronounHis,그의
pronounHers,그녀의
pronounHimself,그 자신
pronounHerself,그녀 자신
city,도시
village,마을
hamlet,작은 마을
farm,농장
shack,판잣집
manor,저택
community,공동체
shrine,성소
King,국왕
Queen,여왕
Duke,공작
Duchess,공작부인
Marquis,후작
Marquise,후작부인
Count,백작
Countess,백작부인
Baron,남작
Baroness,남작부인
Lord,영주
Lady,귀부인
revered,존경받는
esteemed,높이 평가받는
honored,영예로운
admired,칭송받는
respected,존중받는
dependable,믿음직한
aCommonCitizen,평범한 시민
hated,미움받는
pondScum,연못의 찌꺼기
aVillain,악당
aCriminal,범죄자
aScoundrel,건달
undependable,믿을 수 없는
unknown,알 수 없음
Broken,파손됨
Useless,쓸모없음
Battered,낡음
Worn,닳음
Used,사용됨
SlightlyUsed,약간 사용됨
AlmostNew,거의 새것
New,새것
Nothing,없음
local,지역
tavern,선술집
Attempted_Breaking_And_Entering,주거 침입 미수
Trespassing,무단 침입
Breaking_And_Entering,주거 침입
Assault,폭행
Murder,살인
Tax_Evasion,탈세
Criminal_Conspiracy,범죄 공모
Vagrancy,부랑
Smuggling,밀수
Piracy,해적 행위
High_Treason,대역죄
Pickpocketing,소매치기
Theft,절도
Treason,반역
Loan_Default,대출 불이행
Regular_Punishment_String,벌금 %gtp 골드 및 징역 %dip일
Banishment,추방
Execution,사형
cannotChangeTransportationIndoors,실내에서는 이동 수단을 변경할 수 없습니다.
cannotTravelWithEnemiesNearby,근처에 적이 있으면 여행할 수 없습니다.
cannotTravelIndoors,실내에서는 여행할 수 없습니다.
powersUnknown,알 수 없는 힘.
itemPowers,"사용 시 시전:
소지 시 시전:
타격 시 시전:
추가 주문 점수
대상에게 강력함:
체력 재생
뱀파이어 효과
무게 제한 증가
물체 수리
주문 흡수
기술 강화
깃털 무게
방어구 강화
재능 향상
우호도 상승:
영혼 결속
아이템 내구도 저하
사용자 피해
시야 문제
보행 문제
대상에게 낮은 피해:
체력 흡수
대상에게 나쁜 반응:
추가 무게
방어구 약화
우호도 하락:"
enemyNames,"쥐
임프
스프리건
거대 박쥐
회색곰
검치호
거미
오크
켄타우로스
웨어울프
님프
도살물고기
오크 하사관
하피
웨어보어
해골 전사
거인
좀비
유령
미라
거대 전갈
오크 주술사
가고일
레이스
오크 전쟁군주
서리 데이드라
화염 데이드라
데이드로스
뱀파이어
데이드라 유혹자
고대 뱀파이어
데이드라 군주
리치
고대 리치
드래곤링
화염 아트로나크
철 아트로나크
살점 아트로나크
얼음 아트로나크
말
드래곤링
드레우그
라미아
마법사
마검사
전투마법사
소서러
치유사
나이트블레이드
음유시인
도둑
도적
곡예사
도둑
암살자
수도사
궁수
레인저
야만인
전사
기사
도시 경비대"
extraSpellPtsTimes,"겨울 동안
봄 동안
여름 동안
가을 동안
보름달 동안
반달 동안
그믐달 동안
언데드 근처
데이드라 근처
인간형 근처
동물 근처"
regensHealthTimes,"항상
햇빛 아래에서
어둠 속에서"
vampiricEffectRanges,"원거리에서
타격 시"
increasedWeightAllowances,"25% 추가
50% 추가"
improvedTalents,"예민한 청각
운동 능력
아드레날린 쇄도"
itemDeteriorateLocations,"항상
햇빛 아래에서
성스러운 장소에서"
userTakesDamageLocations,"햇빛 아래에서
성스러운 장소에서"
enemyGroupNames,"언데드
데이드라
인간형
동물"
healthLeechStopConditions,"사용할 때마다
매일 사용하지 않는 한
매주 사용하지 않는 한"
badReactionFromEnemyGroups,"인간형
동물
데이드라"
repWithGroups,"평민
상인회
학자회
귀족
암흑가
전체"
youReceiveGoldPieces,%s 골드를 받았습니다.
bankPurchasePrice,가격 : %s 골드
youHaveRentedRoom,%s에서 %d시간 동안 방을 빌렸습니다.
haveNotRentedRoom,이곳에 방을 빌리지 않았습니다.
expiredRentedRoom,방 대여 시간이 만료되었습니다.
tavernAle,에일 (1 골드)
tavernBeer,맥주 (1 골드)
tavernMead,미드 (2 골드)
tavernWine,와인 (3 골드)
tavernBread,빵 (1 골드)
tavernBroth,수프 (1 골드)
tavernCheese,치즈 (2 골드)
tavernFowl,가금류 (3 골드)
tavernGruel,죽 (2 골드)
tavernPie,파이 (2 골드)
tavernStew,스튜 (3 골드)
pressButtonToFireSpell,버튼을 눌러 주문을 발사하세요.
climbingMode,등반 모드.
rappelMode,라펠 모드.
hangingMode,매달리기 모드
acuteHearing,예민한 청각
adrenalineRush,아드레날린 쇄도
athleticism,운동 능력
bonusToHit,명중 보너스
expertiseIn,전문 지식:
immunity,면역
increasedMagery,마법 능력 증가
rapidHealing,빠른 치유
regenerateHealth,체력 재생
resistance,저항
spellAbsorption,주문 흡수
animals,동물
daedra,데이드라
humanoid,인간형
undead,언데드
axe,도끼
bluntWeapon,둔기
handToHand,맨손 격투
longBlade,장검
missileWeapon,원거리 무기
shortBlade,단검
toDisease,질병 저항
toFire,화염 저항
toFrost,서리 저항
toMagic,마법 저항
toParalysis,마비 저항
toPoison,독 저항
toShock,전격 저항
intInSpellPoints15,지능의 1.5배 주문 점수
intInSpellPoints175,지능의 1.75배 주문 점수
intInSpellPoints2,지능의 2배 주문 점수
intInSpellPoints3,지능의 3배 주문 점수
intInSpellPoints,지능만큼의 주문 점수
general,일반
inDarkness,어둠 속에서
inLight,빛 속에서
whileImmersed,물속에 있을 때
criticalWeakness,치명적 약점
damage,피해
darknessPoweredMagery,어둠 기반 마법
forbiddenArmorType,착용 불가 방어구 유형
forbiddenMaterial,착용 불가 재질
forbiddenShieldTypes,착용 불가 방패 유형
forbiddenWeaponry,착용 불가 무기
inabilityToRegen,주문 점수 재생 불가
lightPoweredMagery,빛 기반 마법
lowTolerance,낮은 내성
phobia,공포증
fromHolyPlaces,성스러운 장소에서
fromSunlight,햇빛 아래에서
lowerMagicAbilityDaylight,낮 동안 마법 능력 저하
unableToUseMagicInDaylight,낮 동안 마법 사용 불가
chain,사슬
leather,가죽
plate,판금
adamantium,아다만티움
daedric,데이드릭
dwarven,드워프식
ebony,에보니
elven,엘프식
iron,철
mithril,미스릴
orcish,오크식
silver,은
steel,강철
buckler,버클러
kiteShield,카이트 실드
roundShield,라운드 실드
towerShield,타워 실드
lowerMagicAbilityDarkness,어둠 속에서 마법 능력 저하
unableToUseMagicInDarkness,어둠 속에서 마법 사용 불가
helpAttributes,능력치
helpClassName,직업 이름
helpGeneral,일반
helpReputations,평판
helpSkillAdvancement,기술 숙련도
helpSkills,기술
helpSpecialAdvantages,특수 장점
helpSpecialDisadvantages,특수 단점
lower,낮음
higher,높음
unchanged,변경 없음
elsweyr,엘스웨어
blackMarsh,블랙 마시
hammerfell,해머펠
highRock,하이 락
morrowind,모로윈드
skyrim,스카이림
sumurset,서머셋
valenwood,발렌우드
rollingHills,구릉지
desertLand,사막
mountains,산악 지대
swamps,습지
forests,숲
shores,해안
medical,의술
etiquette,예법
streetwise,거리 감각
jumping,도약
harpy,하피
giantish,거인어
dragonish,용언
nymph,님프
aedric,데이드릭
spriggan,스프리건
centaurian,켄타우로스어
impish,임프어
lockpicking,자물쇠 따기
mercantile,상술
pickpocket,소매치기
stealth,은신
swimming,수영
climbing,등반
backstabbing,기습 공격
dodging,회피
running,달리기
destruction,파괴마법
restoration,회복마법
illusion,환영술
alteration,변화마법
thaumaturgy,기적술
mysticism,신비마법
archery,궁술
criticalStrike,치명타
strength,힘
intelligence,지능
willpower,의지력
agility,민첩성
endurance,지구력
personality,매력
speed,속도
luck,행운
STR,힘
INT,지능
WIL,의지력
AGI,민첩성
END,지구력
PER,매력
SPD,속도
LUC,행운
breton,브레튼
redguard,레드가드
darkElf,다크 엘프
highElf,하이 엘프
woodElf,우드 엘프
khajiit,카짓
argonian,아르고니안
vampire,뱀파이어
werewolf,웨어울프
wereboar,웨어보어
vraseth,브라세스
haarvenu,하르베누
thrafey,트라페이
lyrezi,리레지
montalion,몬탈리온
khulari,쿨라리
garlythi,갈리시
anthotis,안토티스
selenu,셀레누
lockedExteriorDoor,잠김.
canOnlyCastOncePerDay,하루에 한 번만 시전할 수 있습니다...
youNeedToHuntTheInnocent,무고한 자를 사냥하고 싶은 충동이 느껴집니다...
youDreamOfTheMoon,다시 한번 달에 대한 꿈을 꿉니다...
inventoryWhileShapechanged,변신 중에는 인벤토리에 접근할 수 없습니다...
youGetNoResponse,아무런 반응이 없습니다.
copyLogbookInfo,왼쪽 클릭: 선택한 텍스트 복사 전환. 오른쪽 클릭: 현재 대화 전체 복사.
east,동쪽
northeast,북동쪽
north,북쪽
northwest,북서쪽
west,서쪽
southwest,남서쪽
south,남쪽
southeast,남동쪽
thisPlace,이곳
AnyNews,새로운 소식 있나요?
WhereAmI,여기가 어디죠?
AnswerTextWhereAmI,당신은 {1}의 {0}에 있습니다.
YouAreInSameBuilding,{0}의 위치를 찾았습니다. 당신은 그 안에 있습니다.
NpcInSameBuilding,{0}의 위치는 {1}의 근처입니다.
PreviousList,이전 목록
General,일반
Regional,지역
Alchemists,연금술사 조합
Armorers,방어구 제작자
Banks,은행
Bookstores,서점
Clothingstores,의류점
Gemstores,보석상
Generalstores,잡화점
Guilds,길드
Libraries,도서관
Pawnshops,전당포
Taverns,여관
Weaponsmiths,무기 제작자
Localtemples,지역 사원
Sir,경
Ma'am,부인
oldLeaderFate0,심장마비로 사망
oldLeaderFate1,넘어져 머리를 부딪쳐 사망
oldLeaderFate2,역병으로 사망
oldLeaderFate3,압박을 견디지 못하고 사임
oldLeaderFate4,전복됨
oldLeaderFate5,침대에서 살해된 채 발견됨
toBeReplacedStringRegional,모든
replacementStringRegional,모든
comma,","
resolvingError,...신경 쓰지 마세요...
chameleon,카멜레온
charm,매혹
comprehendLanguages,언어 이해
continuousDamage,지속 피해
createItem,물품 생성
cure,치료
detect,탐지
disintegrate,분해
dispel,해제
drain,흡수
elementalResistance,원소 저항
fortifyAttribute,능력치 강화
freeAction,행동 자유
heal,치유
identify,감정
invisibility,투명화
levitate,부양
light,빛
lock,잠금
morphSelf,자기 변신
open,열기
pacify,진정
paralyze,마비
regenerate,재생
shadow,그림자
shield,방패
silence,침묵
slowfall,낙하 감속
soulTrap,영혼 덫
spellReflection,주문 반사
spellResistance,주문 저항
teleport,순간이동
transfer,전이
waterBreathing,수중 호흡
waterWalking,수면 보행
fire,화염
frost,서리
magicka,매지카
poison,독
shock,전격
enemy,적
magic,마법
treasure,보물
fatigue,피로도
health,체력
spellPoints,주문 점수
disease,질병
paralyzation,마비
animal,동물
normal,일반
TRUE,참
noName,<이름 없음>
youDontHaveTheSpellPoints,주문 점수가 부족합니다.
youAreSilenced,침묵 상태입니다.
youAreParalyzed,마비 상태입니다.
youFeelDrained,기력이 흡수된 느낌입니다.
youAreFortified,강화 상태입니다.
youAreInvisible,투명 상태입니다.
youAreLevitating,부양 중입니다.
youAreRegenerating,재생 중입니다.
youAreBlending,주변과 섞여 있습니다.
youAreAShade,그림자 형상입니다.
slowFallActive,낙하 감속이 활성화되었습니다.
saveVersusSpellMade,주문 저항에 성공했습니다.
spellEffectFailed,주문 효과가 실패했습니다.
spellAbsorbed,주문이 흡수되었습니다.
spellReflected,주문이 반사되었습니다.
spellResisted,주문이 저항되었습니다.
readyToLock,잠금 준비 완료.
readyToOpen,열기 준비 완료.
doorLocked,문이 잠겼습니다.
doorAlreadyLocked,문이 이미 잠겨 있습니다.
openFailed,잠금 장치가 너무 강력합니다.
noSpellbook,주문서가 없습니다!
sunlightDamageFastTravelDay,낮에는 빠른 이동을 시작할 수 없습니다.
trapActive,함정이 활성화되었습니다.
trapHumanoid,함정은 인간형 생물에게는 작동하지 않습니다.
trapSuccess,영혼이 갇혔습니다.
trapFail,함정 설치에 실패했습니다.
trapNoneEmpty,빈 영혼 덫이 없습니다!
stamina,지구력
orcStrength,오크의 힘
healing,치유
restorePower,힘 회복
resistFire,화염 저항
resistFrost,서리 저항
resistShock,전격 저항
cureDisease,질병 치료
slowFalling,낙하 감속
healTrue,완전 치유
levitation,부양
resistPoison,독 저항
curePoison,독 치료
chameleonForm,카멜레온 형상
shadowForm,그림자 형상
purification,정화
LeatherCuirass,가죽 흉갑
LeatherGauntlets,가죽 건틀릿
LeatherGreaves,가죽 각반
LeatherLeftPauldron,가죽 왼쪽 견갑
LeatherRightPauldron,가죽 오른쪽 견갑
LeatherHelm,가죽 투구
LeatherBoots,가죽 장화
ChainCuirass,사슬 흉갑
ChainGauntlets,사슬 건틀릿
ChainGreaves,사슬 각반
ChainLeftPauldron,사슬 왼쪽 견갑
ChainRightPauldron,사슬 오른쪽 견갑
ChainHelm,사슬 투구
ChainBoots,사슬 장화
SteelCuirass,강철 흉갑
SteelGauntlets,강철 건틀릿
SteelGreaves,강철 각반
SteelLeftPauldron,강철 왼쪽 견갑
SteelRightPauldron,강철 오른쪽 견갑
SteelHelm,강철 투구
SteelBoots,강철 장화
SteelBuckler,강철 버클러
SteelDagger,강철 단검
SteelLongsword,강철 롱소드
SteelStaff,강철 지팡이
ShortBow,단궁
Arrows,화살
SteelBattleAxe,강철 배틀 액스
Robes,로브
CastWhenUsed,사용 시 시전:
CastWhenHeld,소지 시 시전:
CastWhenStrikes,타격 시 시전:
ExtraSpellPts,추가 주문 점수
PotentVs,대상에게 강력함:
RegensHealth,체력 재생
VampiricEffect,뱀파이어 효과
IncreasedWeightAllowance,소지 무게 증가
RepairsObjects,물품 수리
AbsorbsSpells,주문 흡수
EnhancesSkill,기술 강화
FeatherWeight,깃털 무게
StrengthensArmor,방어구 강화
ImprovesTalents,재능 향상
GoodRepWith,우호적인 평판:
SoulBound,영혼 결속
ItemDeteriorates,물품 내구도 저하
UserTakesDamage,사용자 피해
VisionProblems,시야 문제
WalkingProblems,보행 문제
LowDamageVs,대상에게 낮은 피해:
HealthLeech,체력 흡수
BadReactionsFrom,적대적인 반응:
ExtraWeight,추가 무게
WeakensArmor,방어구 약화
BadRepWith,나쁜 평판:
inHolyPlaces,성스러운 장소에서
wheneverUsed,사용할 때마다
unlessUsedDaily,매일 사용하지 않으면
unlessUsedWeekly,매주 사용하지 않으면
fromHumanoids,인간형 생물로부터
fromAnimals,동물로부터
fromDaedra,데이드라로부터
duringWinter,겨울 동안
duringSpring,봄 동안
duringSummer,여름 동안
duringFall,가을 동안
duringFullMoon,보름달 동안
duringHalfMoon,반달 동안
duringNewMoon,그믐달 동안
nearUndead,언데드 근처에서
nearDaedra,데이드라 근처에서
nearHumanoids,인간형 생물 근처에서
nearAnimals,동물 근처에서
undeadLower,언데드
humanoidLower,인간형 생물
animalsLower,동물
animalsUpper,동물
allTheTime,항상
inSunlight,햇빛 아래에서
inDarknessLower,어둠 속에서
atRange,원거리에서
whenStrikes,타격 시
add25Percent,25% 추가
add50Percent,50% 추가
hearing,예민한 청각
athleticismLower,운동 능력
adrenalineRushLower,아드레날린 쇄도
commoners,평민
merchants,상인회
scholars,학자회
nobility,귀족
underworld,암흑가
all,전체
noRoomInItem,아이템을 넣을 공간이 없습니다...
noEnchantments,이 아이템에 부여할 마법을 준비하지 않았습니다.
noMonstersNearby,근처에 괴물이 없습니다.
Fire,화염
Frost,서리
Poison,독
Shock,전격
Magicka,매지카
Animal,동물
Undead,언데드
Humanoid,인간형
Daedra,데이드라
dialogButtonInfo,전환: 진행 중인 퀘스트; 완료된 퀘스트; 수첩; 메시지
activeQuests,진행 중인 퀘스트
activeQuestsInfo,목표 위치가 있는 퀘스트를 클릭하여 여행을 시작하십시오.
finishedQuests,완료된 퀘스트
finishedQuestsInfo,항목을 클릭하여 이동하십시오. 우클릭하면 삭제됩니다.
notebook,수첩
notebookInfo,메모를 클릭하여 이동하십시오. 우클릭하면 삭제됩니다. 사이를 클릭하여 새 메모를 추가하십시오.
messages,메시지
messagesInfo,최근 화면에 표시된 메시지 기록
confirmMoveHead,항목 이동
confirmMove,이 항목의 위치를 변경하시겠습니까?
confirmMove2,(다음 클릭한 항목 앞으로 이동합니다)
confirmRemoveHead,항목 삭제
confirmRemove,이 항목을 정말로 삭제하시겠습니까?
confirmRemove2,(영구적으로 삭제되며 복구할 수 없습니다)
confirmFindHead,위치로 여행
confirmFind,다음 위치로 여행하기 위해 세계 지도를 여시겠습니까:
confirmFind2,(참고: 세계 지도에서 여행을 취소할 수 있습니다)
enterNote,메모를 입력하십시오:
completedQuest,완료됨
endedQuest,종료됨
finishQuestHeader,{2}에서의 {0} {1}:
quest,퀘스트
noteHeader,{1}의 {0}:
houseDeed,당신은 증서를 획득하여 이제 %region의 %town에 있는 집을 소유하게 되었습니다.
levelProgress,다음 레벨까지의 진행도: {0}%
readMap,지도를 연구한 끝에 %map의 위치를 발견했습니다.
readMapTG,도둑 길드가 %map 물품이라 불리는 보물 창고의 철저히 숨겨진 위치를 알려주었습니다.
readMapDB,다크 브라더후드가 %map 물품이라 불리는 곳에 위치한 보물이 가득한 무덤의 비밀을 알려주었습니다.
readMapFail,이 지도가 보여주는 위치는 이미 발견했습니다.
howManyItems,몇 개의 아이템을 선택하시겠습니까 (최대 {0}개)?
wagonFullGold,당신의 마차에는 {0} 골드만 실을 수 있습니다.
itemsIdentified,아이템 식별 완료.
repairDone,완료
repairDays,%d일
interruptRepair,수리되기 전에 아이템을 되찾으시겠습니까?
repairNote,{1}에 수리를 맡긴 {0}.
doesntNeedIdentify,이것은 식별할 필요가 없습니다.
goldAmount,{0} 골드
goldWeight,무게: {0} kg
letterOfCredit,신용장으로 보상을 받았습니다.
stealSuccess,성공했습니다.
stealFailure,성공하지 못했습니다...
cannotRemoveItem,이 아이템은 제거할 수 없습니다.
cannotCarryAnymore,더 이상 물건을 들 수 없습니다.
cannotHoldAnymore,마차에 더 이상 물건을 실을 수 없습니다.
cannotUseThis,이것은 사용할 수 없습니다.
equippingWeapon,%s 장착 중
lightDouse,%it의 불을 끕니다.
lightLight,%it에 불을 붙입니다.
lightDies,%it의 깜빡임이 멈추고 꺼집니다.
lightEmpty,%it에 연료가 없습니다.
lightRefuel,기름 한 병으로 %it에 연료를 채웁니다.
lightFull,%it 내부가 가득 찼습니다.
kgSrc,킬로그램
kgRep,kg
damSrc,피해량
damRep,피해
arSrc,방어 등급
arRep,방어구
northern,(북부)
southern,(남부)
noWagon,소유한 마차 없음.
exitTooFar,출구가 너무 멀어 마차에 접근할 수 없습니다.
bookUnavailable,책이 훼손되어 읽을 수 없습니다.
unknownAuthor,저자 미상
cannotDeleteVamp,특별한 뱀파이어 주문은 삭제할 수 없습니다.
cannotDeleteWere,특별한 수인병 주문은 삭제할 수 없습니다.
noRecipes,레시피가 없습니다.
potionMixed,물약이 혼합되었습니다.
potionFailed,그 재료들로는 효과적인 물약을 만들 수 없습니다.
reqIngredients,필요한 재료가 없습니다.
region,지역
account,계좌
loan,대출
dueDate,대출 만기일
noAccount,없음
loanReminder,{0} 골드의 대출 만기가 다가옵니다:
loanReminder2,{1}에서 {0}개월 미만
classicIcons,클래식
suggestedIcons,추천
serviceMembersOnly,제 서비스는 회원 전용입니다.
serviceDonateHowMuch,기부할 금액:
curedDisease,치유되었습니다.
freeHolidayCuring,오늘은 휴일이므로 무료로 치유되었습니다.
gettingQuests1,"흠, 가능한 작업이 무엇인지 확인해 보죠."
gettingQuests2,"잠시만 기다려 주십시오, %pcf."
illegalRestWarning,도시 안이나 근처에서 야영하는 것은 불법입니다. 계속하시겠습니까?
cannotLoiterMoreThanXHours1,더 이상 빈둥거릴 수 없습니다
cannotLoiterMoreThanXHours2,한 번에 {0}시간 이상.
automapToolTipTextGridButton,"좌클릭: 2D 평면도와 3D 보기 전환 (단축키: {0})
우클릭: 회전축을 플레이어 위치로 초기화 (단축키: {1})
버튼 위에서 마우스 휠 위로: 원근감 증가 (3D 모드 전용)
버튼 위에서 마우스 휠 아래로: 원근감 감소 (3D 모드 전용)"
automapToolTipForwardButton,"좌클릭: 시점을 앞으로 이동 (단축키: {0})
우클릭: 회전축을 앞으로 이동 (단축키: {1})"
automapToolTipBackwardButton,"좌클릭: 시점을 뒤로 이동 (단축키: {0})
우클릭: 회전축을 뒤로 이동 (단축키: {1})"
automapToolTipLeftButton,"좌클릭: 시점을 왼쪽으로 이동 (단축키: {0})
우클릭: 회전축을 왼쪽으로 이동 (단축키: {1})"
automapToolTipRightButton,"좌클릭: 시점을 오른쪽으로 이동 (단축키: {0})
우클릭: 회전축을 오른쪽으로 이동 (단축키: {1})"
automapToolTipRotateLeftButton,"좌클릭: 던전을 왼쪽으로 회전 (단축키: {0})
우클릭: 카메라를 왼쪽으로 회전 (단축키: {1})"
automapToolTipRotateRightButton,"좌클릭: 던전을 오른쪽으로 회전 (단축키: {0})
우클릭: 카메라를 오른쪽으로 회전 (단축키: {1})"
automapToolTipUpstairsButton,"좌클릭: 시점 높이기 (단축키: {0})
우클릭: 슬라이스 레벨 높이기 (단축키: {1})
슬라이스 레벨은 마우스 가운데 버튼을 누른 채로 조정할 수도 있습니다.

힌트: 렌더링 모드에 따라 숨겨진 지형이 보일 수 있습니다:
단축키 {2}: 컷아웃 모드
단축키 {3}: 와이어프레임 모드
단축키 {4}: 투명 모드
Enter 키로 모드 전환"
automapToolTipDownstairsButton,"좌클릭: 시점 낮추기 (단축키: {0})
우클릭: 슬라이스 레벨 낮추기 (단축키: {1})
슬라이스 레벨은 마우스 가운데 버튼을 누른 채로 조정할 수도 있습니다.

힌트: 렌더링 모드에 따라 숨겨진 지형이 보일 수 있습니다:
단축키 {2}: 컷아웃 모드
단축키 {3}: 와이어프레임 모드
단축키 {4}: 투명 모드
Enter 키로 모드 전환"
